ISO,ZIP,SQUARE_KM,pop_sum
KR,"47100",1.309,1780.46335792542
KR,"47101",1.364,964.397617340088
KR,"47102",0.103,1471.32012557983
KR,"47103",0.06,933.546424865723
KR,"47104",0.054,1114.82530212402
KR,"47105",1.531,1491.2700843811
KR,"47106",0.206,890.363130569458
KR,"47107",0.11,1205.11276245117
KR,"47108",0.028,376.481452941895
KR,"47109",0.064,1281.3853302002
KR,"47110",0.15,1962.00500488281
KR,"47111",0.102,1623.27011871338
KR,"47112",0.109,1289.27109146118
KR,"47113",0.225,1345.11392974854
KR,"47114",0.045,539.345542907715
KR,"47115",0.049,904.375930786133
KR,"47116",0.05,923.656089782715
KR,"47117",0.085,912.229095458984
KR,"47118",0.212,1725.99116516113
KR,"47119",0.159,2332.17011260986
KR,"47120",0.1,1458.05694580078
KR,"47121",0.072,1143.833984375
KR,"47122",0.017,468.401275634766
KR,"47123",0.205,3844.82630157471
KR,"47124",0.081,1293.66355133057
KR,"47125",0.083,1714.26067352295
KR,"47126",0.054,1158.05023193359
KR,"47127",0.062,1271.03546905518
KR,"47128",0.055,882.620590209961
KR,"47129",0.082,1493.53660583496
KR,"47130",0.065,1646.43924713135
KR,"47131",0.042,788.173637390137
KR,"47132",0.047,1266.44577026367
KR,"47133",0.032,605.972244262695
KR,"47134",0.062,1214.07096862793
KR,"47135",0.047,137.660499572754
KR,"47136",0.12,919.051338195801
KR,"47137",0.084,1033.0740814209
KR,"47138",0.059,1010.36026000977
KR,"47139",0.091,1025.618019104
KR,"47140",0.111,1826.94551849365
KR,"47141",0.055,1330.00357055664
KR,"47142",0.051,1214.68436431885
KR,"47143",0.09,1849.35150146484
KR,"47144",0.053,1230.64264678955
KR,"47145",0.05,878.057174682617
KR,"47146",0.057,1020.92205810547
KR,"47147",0.083,2260.0255279541
KR,"47148",0.548,703.515380859375
KR,"47149",0.459,1285.29890060425
KR,"47150",0.1,528.831897735596
KR,"47151",0.035,464.991195678711
KR,"47152",0.043,736.20629119873
KR,"47153",0.014,213.17487554319
KR,"47154",0.063,1065.84133148193
KR,"47155",0.056,324.546669006348
KR,"47156",0.34,2082.48587417603
KR,"47157",0.034,684.350646972656
KR,"47158",0.049,838.024787902832
KR,"47159",0.045,697.798095703125
KR,"47160",0.027,457.562362670898
KR,"47161",0.168,3295.86181640625
KR,"47162",0.011,250.01774597168
KR,"47163",1.662,2185.15086746216
KR,"47164",0.085,1238.07376098633
KR,"47165",0.069,1029.81743621826
KR,"47166",0.328,427.043525695801
KR,"47167",0.504,1354.12114334106
KR,"47168",0.041,456.491676330566
KR,"47169",0.14,2537.12232208252
KR,"47170",0.106,2165.7873916626
KR,"47171",0.111,2291.62426757812
KR,"47172",0.074,1443.05335998535
KR,"47173",0.08,1331.28392028809
KR,"47174",0.04,593.243476867676
KR,"47175",0.115,1115.18075942993
KR,"47176",0.096,2140.62586975098
KR,"47177",0.063,1252.56787109375
KR,"47178",0.061,1253.28454589844
KR,"47179",0.074,1577.916015625
KR,"47180",0.07,1664.65948486328
KR,"47181",0.066,1133.55856323242
KR,"47182",0.062,1409.62365722656
KR,"47183",0.026,411.871841430664
KR,"47184",0.006,138.189847653112
KR,"47185",0.071,1393.1656036377
KR,"47186",0.017,297.619750976562
KR,"47187",0.048,1104.40760803223
KR,"47188",0.074,1380.46290588379
KR,"47189",0.05,1162.30847167969
KR,"47190",0.059,1381.58689880371
KR,"47191",0.053,1182.06452941895
KR,"47192",0.062,970.488250732422
KR,"47193",0.103,2064.46063232422
KR,"47194",0.055,1264.98631286621
KR,"47195",0.042,733.719802856445
KR,"47196",0.193,4085.01728057861
KR,"47197",0.042,1089.17555236816
KR,"47198",0.051,958.74942779541
KR,"47199",0.059,1492.32029724121
KR,"47200",0.077,1522.2445602417
KR,"47201",0.019,431.815444946289
KR,"47202",0.045,1052.66221618652
KR,"47203",0.098,1952.91206359863
KR,"47204",0.119,2243.93131256104
KR,"47205",0.077,1369.40910339355
KR,"47206",0.023,373.841133117676
KR,"47207",0.099,1964.00444030762
KR,"47208",0.051,758.720169067383
KR,"47209",0.082,1621.00270080566
KR,"47210",0.075,1494.2628326416
KR,"47211",0.063,1267.98414611816
KR,"47212",0.048,926.276763916016
KR,"47213",0.043,1163.97250366211
KR,"47214",0.048,1195.81144714355
KR,"47215",0.017,296.107070922852
KR,"47216",0.05,1172.95719909668
KR,"47217",0.053,1463.38366699219
KR,"47218",0.036,828.211837768555
KR,"47219",0.038,975.126983642578
KR,"47220",0.034,589.251419067383
KR,"47221",0.052,1264.57440185547
KR,"47222",0.037,418.74235534668
KR,"47223",0.064,1008.37647247314
KR,"47224",0.042,626.128295898438
KR,"47225",0.043,1137.45853424072
KR,"47226",0.058,1188.18077850342
KR,"47227",0.292,2273.59218597412
KR,"47228",0.104,1821.6277923584
KR,"47229",0.077,1556.66572570801
KR,"47230",0.304,2676.23580169678
KR,"47231",0.298,1273.3293762207
KR,"47232",0.023,428.400032043457
KR,"47233",0.017,289.565399169922
KR,"47234",0.104,2214.3355255127
KR,"47235",0.046,879.464462280273
KR,"47236",0.082,1718.27931976318
KR,"47237",0.041,659.245666503906
KR,"47238",0.026,514.674476623535
KR,"47239",0.036,437.734405517578
KR,"47240",0.076,1574.78392791748
KR,"47241",0.066,1347.68493652344
KR,"47242",0.019,393.231536865234
KR,"47243",0.046,827.037414550781
KR,"47244",0.017,282.304931640625
KR,"47245",0.02,278.195266723633
KR,"47246",0.025,406.401412963867
KR,"47247",0.039,820.101997375488
KR,"47248",0.1,2114.26484680176
KR,"47249",0.061,1330.8311920166
KR,"47250",0.04,864.184173583984
KR,"47251",0.051,981.874801635742
KR,"47252",0.033,682.456558227539
KR,"47253",0.057,1063.37181091309
KR,"47254",0.037,809.826118469238
KR,"47255",0.025,537.460098266602
KR,"47256",0.048,671.734344482422
KR,"47257",0.063,1356.30670166016
KR,"47258",0.045,553.546157836914
KR,"47259",0.05,1275.69998168945
KR,"47260",0.375,7827.89519500732
KR,"47261",0.096,1779.48257446289
KR,"47262",0.139,3386.23306274414
KR,"47263",0.283,5635.35279083252
KR,"47264",0.051,1122.45639038086
KR,"47265",0.031,571.25212097168
KR,"47266",0.066,1394.10331726074
KR,"47267",0.02,422.194366455078
KR,"47268",0.049,1302.97686767578
KR,"47269",0.038,1000.36575317383
KR,"47270",0.098,2052.84442138672
KR,"47271",0.079,1523.94091796875
KR,"47272",0.055,1184.5099029541
KR,"47273",0.023,613.791152954102
KR,"47274",0.006,148.688616204358
KR,"47275",0.024,467.954788208008
KR,"47276",0.069,1528.75212097168
KR,"47277",0.017,300.386611938477
KR,"47278",0.051,1005.5560760498
KR,"47279",0.134,2632.9617767334
KR,"47280",0.132,2372.37092590332
KR,"47281",0.08,1673.16299438477
KR,"47282",0.025,541.532424926758
KR,"47283",0.03,541.722061157227
KR,"47284",0.057,1118.91896057129
KR,"47285",0.051,1073.4969329834
KR,"47286",0.044,632.839553833008
KR,"47287",0.042,916.88695526123
KR,"47288",0.048,1049.03060913086
KR,"47289",0.054,1274.82099914551
KR,"47290",0.028,664.236114501953
KR,"47291",0.025,648.934410095215
KR,"47292",0.052,915.161468505859
KR,"47293",0.07,1653.15255737305
KR,"47294",0.026,534.4921875
KR,"47295",0.028,388.663330078125
KR,"47296",0.073,1169.27928161621
KR,"47297",0.07,1622.14457702637
KR,"47298",0.062,1213.98400878906
KR,"47299",0.028,535.694641113281
KR,"47300",0.052,760.66145324707
KR,"47301",0.055,929.836730957031
KR,"47302",0.026,407.390274047852
KR,"47303",0.045,828.359252929688
KR,"47304",0.026,421.122268676758
KR,"47305",0.068,1680.81687927246
KR,"47306",0.07,1383.69221496582
KR,"47307",0.047,944.083358764648
KR,"47308",0.04,931.644424438477
KR,"47309",0.049,819.077697753906
KR,"47310",0.083,1375.73406982422
KR,"47311",0.078,705.490413665771
KR,"47312",0.486,344.986125946045
KR,"47313",0.257,1124.35990905762
KR,"47314",0.047,947.27010345459
KR,"47315",0.047,813.745300292969
KR,"47316",0.029,405.476913452148
KR,"47317",0.028,673.20556640625
KR,"47318",0.027,552.427185058594
KR,"47319",0.058,1413.46675109863
KR,"47320",0.054,1133.28401184082
KR,"47321",0.033,701.683135986328
KR,"47322",0.036,838.2392578125
KR,"47323",0.052,713.476181030273
KR,"47324",0.036,578.512954711914
KR,"47325",0.038,720.357864379883
KR,"47326",0.073,1425.98994445801
KR,"47327",0.038,579.696578979492
KR,"47328",0.061,1144.76609802246
KR,"47329",0.057,1466.12629699707
KR,"47330",0.061,1318.50093078613
KR,"47331",0.032,733.338577270508
KR,"47332",0.036,737.993499755859
KR,"47333",0.079,1254.59609985352
KR,"47334",0.107,1511.97006225586
KR,"47335",0.052,830.48055267334
KR,"47336",0.066,1079.16333007812
KR,"47337",0.054,1509.36290740967
KR,"47338",0.197,1702.11019897461
KR,"47339",0.385,2414.92618560791
KR,"47340",0.187,1343.52816772461
KR,"47341",0.037,551.577079772949
KR,"47342",0.068,1482.89752197266
KR,"47343",0.072,1603.49592590332
KR,"47344",0.055,990.015747070312
KR,"47345",0.231,1887.98023223877
KR,"47346",0.099,1153.98857879639
KR,"47347",0.098,1280.73213195801
KR,"47348",0.067,1060.15191650391
KR,"47349",0.04,650.902191162109
KR,"47350",0.048,919.505004882812
KR,"47351",0.068,1287.86611938477
KR,"47352",0.027,522.346237182617
KR,"47353",0.096,1382.20156860352
KR,"47354",0.046,878.591827392578
KR,"47355",0.03,608.810623168945
KR,"47356",0.024,375.73770904541
KR,"47357",0.019,377.539344787598
KR,"47358",0.018,521.580780029297
KR,"47359",0.048,909.607482910156
KR,"47360",0.015,529.430709838867
KR,"47361",0.025,251.080451965332
KR,"47362",0.022,241.640274047852
KR,"47363",0.018,240.778900146484
KR,"47364",0.014,242.99429540661
KR,"47365",0.027,508.410095214844
KR,"47366",0.044,973.296058654785
KR,"47367",0.042,794.055297851562
KR,"47368",0.097,1778.83075714111
KR,"47369",0.067,1348.23811340332
KR,"47370",0.044,530.781234741211
KR,"47371",0.012,264.404983520508
KR,"47372",0.036,671.946624755859
KR,"47373",0.053,1056.49171447754
KR,"47374",0.105,766.852001190186
KR,"47375",0.07,411.570793151855
KR,"47376",0.108,1592.29608154297
KR,"47377",0.021,256.893196105957
KR,"47378",0.044,855.518615722656
KR,"47379",0.021,552.283325195312
KR,"47380",0.02,414.687637329102
KR,"47381",0.035,1076.07037353516
KR,"47382",0.056,1041.71180725098
KR,"47383",0.034,839.976898193359
KR,"47384",0.078,1196.79920196533
KR,"47385",0.055,1192.94116973877
KR,"47386",0.02,419.487777709961
KR,"47387",0.06,845.321807861328
KR,"47388",0.063,1082.02780914307
KR,"47389",0.113,1804.89673614502
KR,"47390",1.114,2760.69953536987
KR,"47391",0.001,24.4309009190737
KR,"47392",0.029,427.137847900391
KR,"47393",0.044,1014.23616027832
KR,"47394",0.038,708.075325012207
KR,"47395",0.181,1356.69607162476
KR,"47396",0.022,287.743667602539
KR,"47397",0.461,1588.92049407959
KR,"47398",0.002,50.4520562266352
KR,"47536",0.029,782.242156982422
